Year,EventRootCode,Articles_per_Event
2009,17,7.2078915850528071
2009,18,7.4596549336880829
2009,19,8.1936188180590452
2009,20,6.1817028474767408
2010,--,6.5
2010,01,8.6903044839294381
2010,02,9.10584062519512
2010,03,7.8033575238261781
2010,04,7.9760871458032758
2010,05,7.6555286002841418
2010,06,7.361254270013367
2010,07,10.102018946322092
2010,08,8.5348234409760959
2010,09,10.096508546054642
2010,10,8.1816257978989668
2010,11,8.7617530797317666
2010,12,9.2363095900704089
2010,13,9.398832061787699
2010,14,8.510532592571046
2010,15,8.9327881156344624
2010,16,8.6750868100544185
2010,17,8.8049552632539232
2010,18,9.0535622239372557
2010,19,9.685818345099408
2010,20,5.606460341620159
2011,--,2.3333333333333335
2011,01,9.7300078221188624
2011,02,10.197427511832714
2011,03,8.9787161532291275
2011,04,9.0693652128606868
2011,05,8.62013855010245
2011,06,8.1284868753988
2011,07,10.833630077738938
2011,08,9.8495214803945537
2011,09,10.733367661221882
2011,10,9.6137659241670441
2011,11,9.838143413298603
2011,12,10.391246131377123
2011,13,10.450652849376596
2011,14,10.467055279014934
2011,15,9.3641017653167182
2011,16,10.252423673366467
2011,17,10.042109596309182
2011,18,10.118138056682518
2011,19,11.595153103072228
2011,20,6.0587050969587795
2012,--,3.8
2012,01,10.337774302782659
2012,02,10.833309241708065
2012,03,9.2867491889508322
2012,04,9.4564249551336665
2012,05,9.0181043298273131
2012,06,8.4565832376130654
2012,07,11.232913579541568
2012,08,10.102129102988469
2012,09,11.386756999424009
2012,10,9.8445938255321135
2012,11,10.73007456261559
2012,12,11.040153780893291
2012,13,10.935980877596789
2012,14,10.686664936181376
2012,15,10.415446818869802
2012,16,10.728279377777467
2012,17,10.548897713714235
2012,18,10.624104904655706
2012,19,12.463034501912311
2012,20,8.7142436510857557
2013,--,5.0
2013,01,9.2730649209888671
2013,02,9.7395870834631584
2013,03,8.6019154005750824
2013,04,8.7565815422684423
2013,05,8.33888037802414
2013,06,8.1125265564382048
2013,07,9.834825741847169
2013,08,9.01095601215717
2013,09,10.018882351918915
2013,10,8.9035996000444388
2013,11,9.7252972358921017
2013,12,9.8121954960334943
2013,13,14.19479255701221
2013,14,9.5460161758117383
2013,15,9.40491540215647
2013,16,9.64885638794737
2013,17,9.2752380684105962
2013,18,9.3940702732703869
2013,19,10.402531292252995
2013,20,7.8321342925659474
2014,--,4.5
2014,01,10.014130900198069
2014,02,10.404758691664897
2014,03,9.407403938410269
2014,04,9.7009307722027014
2014,05,8.9701513341083547
2014,06,9.31770533641269
2014,07,10.415457076627463
2014,08,9.5541812903911971
2014,09,11.163494425529594
2014,10,9.45256914143868
2014,11,10.23251841267985
2014,12,10.467400267511623
2014,13,10.236491924781459
2014,14,10.234942701977992
2014,15,10.739991082891507
2014,16,10.533036373850461
2014,17,10.142770717168235
2014,18,9.6918565857735555
2014,19,11.357367763739969
2014,20,8.0893222768222763
2014,X,5.0
2015,--,4.3
2015,01,15.018071494709647
2015,02,15.60612949669132
2015,03,13.341785421250504
2015,04,13.976022076613464
2015,05,12.62350772345957
2015,06,11.742182381224024
2015,07,15.860269963115016
2015,08,13.729739451318734
2015,09,17.54192042454731
2015,10,13.352294868504842
2015,11,14.453491594687113
2015,12,15.190299496114616
2015,13,14.662082178042905
2015,14,13.533231588608299
2015,15,13.77572113960789
2015,16,14.32321832427027
2015,17,15.394359445053757
2015,18,14.546139347572323
2015,19,17.4465368535616
2015,20,9.166284968836063
2016,--,6.213483146067416
2016,01,14.883208125317124
2016,02,15.4934899997611
2016,03,13.37913302231023
2016,04,13.854402491164846
2016,05,12.916513251568617
2016,06,11.670724562789733
2016,07,15.306880017028087
2016,08,13.625071550806537
2016,09,16.577992827683381
2016,10,13.187301006053781
2016,11,14.440198622849673
2016,12,14.782514247038353
2016,13,14.335787448465414
2016,14,14.209770606926771
2016,15,13.37493092053861
2016,16,14.262331574371599
2016,17,15.005518002991172
2016,18,14.856142151639785
2016,19,17.543920242214774
2016,20,9.2354164603347524
2017,--,6.6578947368421053
2017,01,15.147017399454814
2017,02,15.599236204832263
2017,03,12.984586168830322
2017,04,13.973167911835738
2017,05,12.498456032259657
2017,06,11.507693559063423
2017,07,15.231225076466664
2017,08,13.675363616314641
2017,09,16.578306179362983
2017,10,13.845267821668934
2017,11,14.621839119530144
2017,12,14.738190366162831
2017,13,14.83724581934578
2017,14,14.282638296359499
2017,15,14.06089477515677
2017,16,14.980374900104195
2017,17,15.296440054705252
2017,18,14.646180726858249
2017,19,17.356389702898877
2017,20,12.609150546677881
